#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,72,163.1538
-4.0,87,163.334452
2.0,94,163.713378
0.0,87,163.886805
-4.0,80,164.046749
0.0,44,164.141551
0.0,58,164.452787
-3.0,80,164.611885
-3.0,65,164.76186
2.0,58,164.88504
0.0,72,165.234373
0.0,159,165.550566
-4.0,108,165.950863
0.0,80,166.128248
1.0,80,166.289241
-7.0,94,166.66621
-1.0,90,166.832212
-4.0,80,166.983728
-8.0,44,167.269323
1.0,72,167.413812
0.0,65,167.542853
0.0,72,167.689393
3.0,65,168.004667
-4.0,65,168.145354
1.0,65,168.282746
2.0,101,168.674383
-6.0,72,168.817704
-4.0,65,168.94416
-4.0,65,169.073517
1.0,44,169.361213
1.0,44,169.447497
-4.0,44,169.536877
1.0,51,169.635947
-8.0,80,169.79483
1.0,65,170.115394
-4.0,65,170.262971
-4.0,65,170.395654
0.0,72,170.542799
-3.0,51,170.855058
2.0,72,170.99917
-4.0,94,171.195669
-4.0,72,171.528061
1.0,101,171.727925
1.0,72,171.868657
-3.0,51,171.969637
-4.0,65,172.299939
0.0,80,172.451256
5.0,116,172.670182
2.0,112,173.076815
0.0,58,173.188923
3.0,58,173.311186
-3.0,74,173.648248
2.0,166,173.96197
0.0,51,174.256029
-3.0,80,174.41743
0.0,87,174.592713
1.0,87,174.953912
-3.0,94,175.143738
1.0,72,175.299181
-3.0,44,175.392187
0.0,44,175.669108
-6.0,94,175.868651
-3.0,123,176.113121
1.0,58,176.419229
0.0,51,176.520569
0.0,58,176.634353
-3.0,94,176.813618
-4.0,51,177.099425
-3.0,72,177.241986
-3.0,51,177.347515
2.0,65,177.475153
0.0,65,177.788243
-8.0,44,177.871288
0.0,87,178.034604
0.0,80,178.188964
2.0,72,178.52068
0.0,58,178.638265
0.0,44,178.727671
0.0,58,178.838353
-11.0,80,179.189538
-3.0,94,179.387393
-3.0,108,179.600534
-3.0,80,179.942678
1.0,72,180.08561
0.0,58,180.199995
2.0,65,180.333917
-4.0,51,180.619884
1.0,74,180.77018
1.0,65,180.900967
-4.0,58,181.017347
0.0,44,181.313293
-7.0,233,181.976788
0.0,44,182.062282
-4.0,94,182.248751
-3.0,87,182.44375
2.0,81,182.822283
3.0,72,182.958241
0.0,65,183.081343
1.0,65,183.204082
1.0,67,183.540213
1.0,65,183.676641
2.0,72,183.816411
2.0,72,184.153038
-3.0,94,184.342198
-8.0,51,184.44833
-4.0,65,184.581126
-3.0,72,184.909649
2.0,111,185.125802
0.0,58,185.235792
-4.0,108,185.646779
1.0,80,185.809462
-3.0,65,185.940364
1.0,51,186.237243
-4.0,87,186.423227
-3.0,72,186.568578
-7.0,100,186.961747
2.0,70,187.101375
1.0,51,187.201384
-3.0,87,187.369225
0.0,72,187.708737
-4.0,65,187.839224
2.0,65,187.970787
-4.0,94,188.3523
1.0,108,188.57922
2.0,108,188.788493
0.0,80,189.13239
-7.0,87,189.300558
1.0,101,189.49732
-4.0,80,189.843378
-3.0,97,190.033511
-4.0,51,190.138323
1.0,87,190.512923
-3.0,44,190.603483
1.0,101,190.814506
-8.0,51,190.916289
0.0,44,191.198739
-1.0,94,191.390156
2.0,51,191.503087
-11.0,94,191.688599
-4.0,65,192.007833
-3.0,72,192.155711
2.0,72,192.319181
0.0,72,192.660255
-4.0,65,192.784612
2.0,80,192.938547
1.0,51,193.034096
1.0,72,193.36468
2.0,108,193.579531
-3.0,94,193.762241
-2.0,58,194.063028
-4.0,159,194.36527
2.0,72,194.695633
0.0,51,194.796767
0.0,72,194.940239
-12.0,94,195.128669
-3.0,94,195.524885
-4.0,58,195.641457
0.0,72,195.790426
-2.0,72,196.136354
1.0,65,196.271791
0.0,65,196.408797
-4.0,71,196.563656
-3.0,80,196.906496
2.0,72,197.043906
-3.0,59,197.156053
3.0,65,197.281391
0.0,44,197.56967
-3.0,80,197.727769
0.0,51,197.839535
-4.0,65,197.971118
-3.0,72,198.302677
-4.0,80,198.466398
0.0,72,198.621025
2.0,94,198.99663
2.0,65,199.12615
-4.0,58,199.246206
0.0,44,199.338766
1.0,65,199.660752
0.0,51,199.759208
0.0,72,199.900154
-4.0,58,200.014756
0.0,51,200.121371
0.0,72,200.449663
2.0,101,200.648927
-3.0,51,200.742397
-4.0,58,201.038418
0.0,80,201.197381
-4.0,51,201.299073
0.0,58,201.415538
-8.0,65,201.74595
-3.0,72,201.88867
-9.0,96,202.073859
-4.0,72,202.212707
-4.0,80,202.557543
0.0,72,202.711943
-5.0,166,203.233369
1.0,87,203.428154
-6.0,87,203.618554
2.0,94,203.993851
